geoid,census_name,display_name,population,acs_vintage,data_as_of
2302576190,"The Forks plantation, Somerset County, Maine",The Forks plantation,92,2024,
2302582840,"West Forks plantation, Somerset County, Maine",West Forks plantation,125,2024,
2302703950,"Belfast city, Waldo County, Maine",Belfast city,6986,2024,
2302704125,"Belmont town, Waldo County, Maine",Belmont town,876,2024,
2302707870,"Brooks town, Waldo County, Maine",Brooks town,1208,2024,
2302709270,"Burnham town, Waldo County, Maine",Burnham town,953,2024,
2302726280,"Frankfort town, Waldo County, Maine",Frankfort town,1098,2024,
2302726420,"Freedom town, Waldo County, Maine",Freedom town,670,2024,
2302735240,"Islesboro town, Waldo County, Maine",Islesboro town,636,2024,
2302735450,"Jackson town, Waldo County, Maine",Jackson town,567,2024,
2302737585,"Knox town, Waldo County, Maine",Knox town,825,2024,
2302739055,"Liberty town, Waldo County, Maine",Liberty town,969,2024,
2302739755,"Lincolnville town, Waldo County, Maine",Lincolnville town,2396,2024,
2302746475,"Monroe town, Waldo County, Maine",Monroe town,1001,2024,
2302746790,"Montville town, Waldo County, Maine",Montville town,907,2024,
2302747245,"Morrill town, Waldo County, Maine",Morrill town,914,2024,
2302756450,"Palermo town, Waldo County, Maine",Palermo town,1473,2024,
2302761210,"Prospect town, Waldo County, Maine",Prospect town,923,2024,
2302766565,"Searsmont town, Waldo County, Maine",Searsmont town,1646,2024,
2302766635,"Searsport town, Waldo County, Maine",Searsport town,2655,2024,
2302774475,"Stockton Springs town, Waldo County, Maine",Stockton Springs town,1652,2024,
2302775525,"Swanville town, Waldo County, Maine",Swanville town,1195,2024,
2302776610,"Thorndike town, Waldo County, Maine",Thorndike town,1403,2024,
2302777625,"Troy town, Waldo County, Maine",Troy town,984,2024,
2302778255,"Unity town, Waldo County, Maine",Unity town,1858,2024,
2302779480,"Waldo town, Waldo County, Maine",Waldo town,926,2024,
2302786760,"Winterport town, Waldo County, Maine",Winterport town,3850,2024,
2302900380,"Addison town, Washington County, Maine",Addison town,1045,2024,
2302900660,"Alexander town, Washington County, Maine",Alexander town,553,2024,
2302902480,"Baileyville town, Washington County, Maine",Baileyville town,1339,2024,
2302903670,"Beals town, Washington County, Maine",Beals town,498,2024,
2302903810,"Beddington town, Washington County, Maine",Beddington town,38,2024,
2302909585,"Calais city, Washington County, Maine",Calais city,3097,2024,
2302912175,"Charlotte town, Washington County, Maine",Charlotte town,377,2024,
2302912455,"Cherryfield town, Washington County, Maine",Cherryfield town,809,2024,
2302913612,"Codyville UT, Washington County, Maine",Codyville UT,14,2024,
2302913820,"Columbia Falls town, Washington County, Maine",Columbia Falls town,475,2024,
2302914100,"Cooper town, Washington County, Maine",Cooper town,157,2024,
2302914940,"Crawford town, Washington County, Maine",Crawford town,97,2024,
2302915920,"Cutler town, Washington County, Maine",Cutler town,492,2024,
2302916410,"Danforth town, Washington County, Maine",Danforth town,666,2024,
2302916865,"Deblois town, Washington County, Maine",Deblois town,148,2024,
2302917355,"Dennysville town, Washington County, Maine",Dennysville town,218,2024,
2302919870,"East Central Washington UT, Washington County, Maine",East Central Washington UT,573,2024,
2302920960,"East Machias town, Washington County, Maine",East Machias town,1223,2024,
2302921730,"Eastport city, Washington County, Maine",Eastport city,1263,2024,
2302928660,"Grand Lake Stream plantation, Washington County, Maine",Grand Lake Stream plantation,169,2024,
2302931530,"Harrington town, Washington County, Maine",Harrington town,917,2024,
2302935905,"Jonesboro town, Washington County, Maine",Jonesboro town,570,2024,
2302936010,"Jonesport town, Washington County, Maine",Jonesport town,1166,2024,
2302941610,"Lubec town, Washington County, Maine",Lubec town,1346,2024,
2302941960,"Machias town, Washington County, Maine",Machias town,2020,2024,
2302942100,"Machiasport town, Washington County, Maine",Machiasport town,1016,2024,
2302943640,"Marshfield town, Washington County, Maine",Marshfield town,499,2024,
2302944760,"Meddybemps town, Washington County, Maine",Meddybemps town,139,2024,
2302945600,"Milbridge town, Washington County, Maine",Milbridge town,1222,2024,
2302951375,"Northfield town, Washington County, Maine",Northfield town,263,2024,
2302953500,"North Washington UT, Washington County, Maine",North Washington UT,620,2024,
2302957082,"Passamaquoddy Indian Township Reservation, Washington County, Maine",Passamaquoddy Indian Township Reservation,759,2024,
2302957090,"Passamaquoddy Pleasant Point Reservation, Washington County, Maine",Passamaquoddy Pleasant Point Reservation,552,2024,
2302957780,"Pembroke town, Washington County, Maine",Pembroke town,801,2024,
2302958165,"Perry town, Washington County, Maine",Perry town,744,2024,
2302961035,"Princeton town, Washington County, Maine",Princeton town,866,2024,
2302963275,"Robbinston town, Washington County, Maine",Robbinston town,621,2024,
2302963940,"Roque Bluffs town, Washington County, Maine",Roque Bluffs town,369,2024,
2302974125,"Steuben town, Washington County, Maine",Steuben town,1388,2024,
2302975770,"Talmadge town, Washington County, Maine",Talmadge town,67,2024,
2302976895,"Topsfield town, Washington County, Maine",Topsfield town,214,2024,
2302978675,"Vanceboro town, Washington County, Maine",Vanceboro town,122,2024,
2302979375,"Waite town, Washington County, Maine",Waite town,108,2024,
2302981685,"Wesley town, Washington County, Maine",Wesley town,320,2024,
2302985185,"Whiting town, Washington County, Maine",Whiting town,506,2024,
2302985290,"Whitneyville town, Washington County, Maine",Whitneyville town,170,2024,
2303100275,"Acton town, York County, Maine",Acton town,2721,2024,
2303100730,"Alfred town, York County, Maine",Alfred town,3125,2024,
2303101605,"Arundel town, York County, Maine",Arundel town,4418,2024,
2303109410,"Buxton town, York County, Maine",Buxton town,8512,2024,
2303114485,"Cornish town, York County, Maine",Cornish town,1803,2024,
2303116725,"Dayton town, York County, Maine",Dayton town,2313,2024,
2303136535,"Kennebunk town, York County, Maine",Kennebunk town,11820,2024,
2303136745,"Kennebunkport town, York County, Maine",Kennebunkport town,3684,2024,
2303139195,"Limerick town, York County, Maine",Limerick town,3400,2024,
2303139405,"Limington town, York County, Maine",Limington town,4017,2024,
2303141750,"Lyman town, York County, Maine",Lyman town,4612,2024,
2303148750,"Newfield town, York County, Maine",Newfield town,1580,2024,
2303150325,"North Berwick town, York County, Maine",North Berwick town,5129,2024,
2303154980,"Ogunquit town, York County, Maine",Ogunquit town,1379,2024,
2303164675,"Saco city, York County, Maine",Saco city,20819,2024,
2303167475,"Shapleigh town, York County, Maine",Shapleigh town,2976,2024,
2303170030,"South Berwick town, York County, Maine",South Berwick town,7670,2024,
2303180530,"Waterboro town, York County, Maine",Waterboro town,8055,2024,
2303181475,"Wells town, York County, Maine",Wells town,11713,2024,
2303187985,"York town, York County, Maine",York town,13986,2024,
